customer_id,billing_date,payment_date,payment_value,record_type
C-0001,31/05/2023,31/05/2023,112.58,payment
C-0001,01/07/2023,01/07/2023,112.58,payment
C-0001,31/07/2023,05/08/2023,112.58,payment
C-0001,31/08/2023,09/09/2023,112.58,payment
C-0001,01/10/2023,01/10/2023,112.58,payment
C-0001,31/10/2023,31/10/2023,112.58,payment
C-0001,01/12/2023,01/12/2023,112.58,payment
C-0001,31/12/2023,31/12/2023,112.58,payment
C-0001,31/01/2024,31/01/2024,112.58,payment
C-0001,02/03/2024,02/03/2024,112.58,payment
C-0001,31/03/2024,31/03/2024,112.58,payment
C-0001,01/05/2024,01/05/2024,112.58,payment
C-0001,31/05/2024,31/05/2024,112.58,payment
C-0001,01/07/2024,01/07/2024,112.58,payment
C-0001,31/07/2024,31/07/2024,112.58,payment
C-0001,31/08/2024,31/08/2024,112.58,payment
C-0001,01/10/2024,01/10/2024,112.58,payment
C-0001,31/10/2024,09/11/2024,112.58,payment
C-0001,01/12/2024,16/12/2024,112.58,payment
C-0002,31/10/2023,31/10/2023,1074.24,payment
C-0002,31/10/2024,02/11/2024,1074.24,payment
C-0003,31/01/2023,06/02/2023,9575.52,dunning
C-0003,31/01/2023,11/02/2023,9575.52,payment
C-0003,31/01/2024,02/02/2024,9575.52,dunning
C-0003,31/01/2024,06/02/2024,9575.52,payment
C-0003,31/01/2024,07/02/2024,9575.52,dunning
C-0004,01/12/2022,01/12/2022,57.24,payment
C-0004,01/01/2023,01/01/2023,57.24,payment
C-0004,01/02/2023,01/02/2023,57.24,payment
C-0004,01/03/2023,01/03/2023,57.24,payment
C-0004,01/04/2023,01/04/2023,57.24,payment
C-0004,01/05/2023,01/05/2023,57.24,payment
C-0004,01/06/2023,01/06/2023,57.24,payment
C-0004,01/07/2023,01/07/2023,57.24,payment
C-0004,01/08/2023,01/08/2023,57.24,payment
C-0004,01/09/2023,01/09/2023,57.24,payment
C-0004,01/10/2023,01/10/2023,57.24,payment
C-0004,01/11/2023,01/11/2023,57.24,payment
C-0004,01/12/2023,01/12/2023,57.24,payment
C-0004,01/01/2024,01/01/2024,57.24,payment
C-0004,01/02/2024,01/02/2024,57.24,payment
C-0004,01/03/2024,01/03/2024,57.24,payment
C-0004,01/04/2024,01/04/2024,57.24,payment
C-0004,01/05/2024,01/05/2024,57.24,payment
C-0004,01/06/2024,01/06/2024,57.24,payment
C-0004,01/07/2024,01/07/2024,57.24,payment
C-0004,01/08/2024,01/08/2024,57.24,payment
C-0004,01/09/2024,01/09/2024,57.24,payment
C-0004,01/10/2024,01/10/2024,57.24,payment
C-0004,01/11/2024,01/11/2024,57.24,payment
C-0004,01/12/2024,01/12/2024,57.24,payment
C-0005,31/08/2022,31/08/2022,58.13,payment
C-0005,01/10/2022,01/10/2022,58.13,payment
C-0005,31/10/2022,31/10/2022,58.13,payment
C-0005,01/12/2022,01/12/2022,58.13,payment
C-0005,31/12/2022,31/12/2022,58.13,payment
C-0005,31/01/2023,06/02/2023,58.13,payment
C-0005,03/03/2023,03/03/2023,58.13,payment
C-0005,31/03/2023,31/03/2023,58.13,payment
C-0005,01/05/2023,01/05/2023,58.13,payment
C-0005,31/05/2023,31/05/2023,58.13,payment
C-0005,01/07/2023,01/07/2023,58.13,payment
C-0005,31/07/2023,31/07/2023,58.13,payment
C-0005,31/08/2023,31/08/2023,58.13,payment
C-0005,01/10/2023,03/10/2023,58.13,payment
C-0005,31/10/2023,31/10/2023,58.13,payment
C-0005,01/12/2023,01/12/2023,58.13,payment
C-0005,31/12/2023,31/12/2023,58.13,payment
C-0005,31/01/2024,31/01/2024,58.13,payment
C-0005,02/03/2024,02/03/2024,58.13,payment
C-0005,31/03/2024,31/03/2024,58.13,payment
C-0005,01/05/2024,01/05/2024,58.13,payment
C-0005,31/05/2024,31/05/2024,58.13,payment
C-0005,01/07/2024,01/07/2024,58.13,payment
C-0005,31/07/2024,31/07/2024,58.13,payment
C-0005,31/08/2024,31/08/2024,58.13,payment
C-0005,01/10/2024,01/10/2024,58.13,payment
C-0005,31/10/2024,08/11/2024,58.13,payment
C-0005,01/12/2024,01/12/2024,58.13,payment
C-0006,01/05/2021,14/05/2021,8941.2,payment
C-0006,01/05/2022,02/05/2022,8941.2,payment
C-0006,01/05/2023,01/05/2023,8941.2,payment
C-0006,01/05/2024,15/05/2024,8941.2,payment
C-0007,03/03/2023,03/03/2023,7909.8,payment
C-0007,03/03/2024,03/03/2024,7909.8,payment
C-0008,31/08/2021,31/08/2021,2189.46,payment
C-0008,01/10/2021,01/10/2021,2189.46,payment
C-0008,31/10/2021,31/10/2021,2189.46,payment
C-0008,01/12/2021,01/12/2021,2189.46,payment
C-0008,31/12/2021,31/12/2021,2189.46,payment
C-0008,31/01/2022,31/01/2022,2189.46,payment
C-0008,03/03/2022,03/03/2022,2189.46,payment
C-0008,31/03/2022,31/03/2022,2189.46,payment
C-0008,01/05/2022,01/05/2022,2189.46,payment
C-0008,31/05/2022,31/05/2022,2189.46,payment
C-0008,01/07/2022,01/07/2022,2189.46,payment
C-0008,31/07/2022,31/07/2022,2189.46,payment
C-0008,31/08/2022,31/08/2022,2189.46,payment
C-0008,01/10/2022,01/10/2022,2189.46,payment
C-0008,31/10/2022,31/10/2022,2189.46,payment
C-0008,01/12/2022,16/12/2022,2189.46,payment
C-0008,31/12/2022,31/12/2022,2189.46,payment
C-0008,31/01/2023,31/01/2023,2189.46,payment
C-0008,03/03/2023,03/03/2023,2189.46,payment
C-0008,31/03/2023,31/03/2023,2189.46,payment
C-0008,31/03/2023,31/03/2023,2189.46,payment
C-0008,01/05/2023,01/05/2023,2189.46,payment
C-0008,31/05/2023,31/05/2023,2189.46,payment
C-0008,01/07/2023,01/07/2023,2189.46,payment
C-0008,31/07/2023,31/07/2023,2189.46,payment
C-0008,31/08/2023,31/08/2023,2189.46,payment
C-0008,01/10/2023,01/10/2023,2189.46,payment
C-0008,31/10/2023,31/10/2023,2189.46,payment
C-0008,01/12/2023,01/12/2023,2189.46,payment
C-0008,31/12/2023,31/12/2023,2189.46,payment
C-0008,31/01/2024,31/01/2024,2189.46,payment
C-0008,02/03/2024,02/03/2024,2189.46,payment
C-0008,31/03/2024,31/03/2024,2189.46,payment
C-0008,01/05/2024,01/05/2024,2189.46,payment
C-0008,31/05/2024,31/05/2024,2189.46,payment
C-0008,01/07/2024,01/07/2024,2189.46,payment
C-0008,31/07/2024,31/07/2024,2189.46,payment
C-0008,31/08/2024,31/08/2024,2189.46,payment
C-0008,01/10/2024,01/10/2024,2189.46,payment
C-0008,31/10/2024,31/10/2024,2189.46,payment
C-0008,01/12/2024,01/12/2024,2189.46,payment
C-0009,31/10/2023,13/11/2023,85.26,payment
C-0009,01/12/2023,01/12/2023,85.26,payment
C-0009,31/12/2023,31/12/2023,85.26,payment
C-0009,31/01/2024,31/01/2024,85.26,payment
C-0009,02/03/2024,02/03/2024,85.26,payment
C-0009,31/03/2024,31/03/2024,85.26,payment
C-0009,01/05/2024,01/05/2024,85.26,payment
C-0009,31/05/2024,31/05/2024,85.26,payment
C-0009,01/07/2024,01/07/2024,85.26,payment
C-0009,31/07/2024,31/07/2024,85.26,payment
C-0009,31/08/2024,31/08/2024,85.26,payment
C-0009,01/10/2024,01/10/2024,85.26,payment
C-0009,31/10/2024,31/10/2024,85.26,payment
C-0009,01/12/2024,01/12/2024,85.26,payment
C-0010,01/05/2021,01/05/2021,3929.87,payment
C-0010,01/06/2021,01/06/2021,3929.87,payment
C-0010,01/07/2021,01/07/2021,3929.87,payment
C-0010,01/08/2021,01/08/2021,3929.87,payment
C-0010,01/09/2021,01/09/2021,3929.87,payment
C-0010,01/10/2021,01/10/2021,3929.87,payment
C-0010,01/11/2021,01/11/2021,3929.87,payment
C-0010,01/12/2021,01/12/2021,3929.87,payment
C-0010,01/01/2022,01/01/2022,3929.87,payment
C-0010,01/02/2022,01/02/2022,3929.87,payment
