customer_id,plan_type,contract_type,subscription_date,total_users,unsubscribed_date,is_churn,avg_usage_hrs,avg_feature_adoption,last_login,total_tickets,avg_nps_score,total_payment_value,avg_payment_delay,total_dunning,usage_per_user
C-0001,starter,Monthly,2023-05-31,4,2024-12-05,1,20.1,73.6,2024-11-27,0.0,0.0,2026.44,1.2777777777777777,0.0,5.025
C-0002,starter,Annual,2023-10-31,1,2024-11-02,1,25.6,54.8,2024-10-25,4.0,6.0,2148.48,1.0,0.0,25.6
C-0003,professional,Annual,2023-01-31,9,,0,136.1,66.0,2024-11-25,3.0,5.0,19151.04,8.5,3.0,15.122222222222222
C-0004,starter,Monthly,2022-08-31,2,2024-11-24,1,16.2,15.2,2024-11-24,8.0,5.5,1373.76,0.0,0.0,8.1
C-0005,starter,Monthly,2021-04-30,1,,0,12.5,63.6,2024-12-20,8.0,4.0,1627.64,0.5714285714285714,0.0,12.5
C-0006,professional,Annual,2023-02-28,10,,0,24.1,89.0,2024-11-09,16.0,5.5,35764.8,7.0,0.0,2.41
C-0007,professional,Annual,2021-08-31,12,2024-11-19,1,79.3,40.4,2024-11-19,7.0,9.5,15819.6,0.0,0.0,6.608333333333333
C-0008,enterprise,Monthly,2023-10-31,42,2024-12-18,1,265.2,27.2,2024-12-18,4.0,0.0,89767.86,0.36585365853658536,0.0,6.314285714285714
C-0009,starter,Monthly,2021-04-30,5,,0,4.9,72.2,2024-12-07,4.0,2.0,1193.64,0.9285714285714286,0.0,0.9800000000000001
C-0010,enterprise,Monthly,2022-08-31,93,2024-12-28,1,67.5,54.2,2024-12-28,12.0,7.0,172914.28,0.0,0.0,0.7258064516129032
C-0011,starter,Monthly,2022-09-30,1,2024-11-23,1,27.5,37.2,2024-11-23,3.0,3.5,1407.51,1.4814814814814814,0.0,27.5
C-0012,starter,Annual,2023-08-31,2,,0,34.6,72.5,2024-10-08,8.0,2.5,6979.68,8.333333333333334,0.0,17.3
C-0013,enterprise,Annual,2022-12-31,16,2024-10-31,1,195.8,47.1,2024-10-31,4.0,2.0,24696.72,5.5,0.0,12.2375
C-0014,starter,Monthly,2021-09-30,4,2024-12-14,1,14.0,75.3,2024-11-14,5.0,8.0,3026.16,0.5,0.0,3.5
C-0015,professional,Annual,2021-02-28,12,,0,96.9,80.6,2024-12-21,11.0,5.5,35347.68,6.0,1.0,8.075000000000001
C-0016,professional,Monthly,2024-11-30,15,,0,55.9,65.8,2024-11-23,11.0,7.5,28530.58,0.32608695652173914,0.0,3.7266666666666666
C-0017,starter,Annual,2024-11-30,3,2024-10-25,1,6.2,24.4,2024-10-25,2.0,6.5,0.0,0.0,0.0,2.066666666666667
C-0018,starter,Monthly,2021-08-31,4,2024-12-26,1,31.1,74.8,2024-12-26,13.0,0.5,168.12,15.0,4.0,7.775
C-0019,professional,Monthly,2021-05-31,18,,0,49.7,22.2,2024-12-26,12.0,1.0,24297.600000000002,1.025,0.0,2.761111111111111
