survey_id,customer_id,nps_score,survey_date
SV-01430,C-0001,0,02/12/2024
SV-01431,C-0001,0,27/04/2024
SV-01928,C-0002,6,01/04/2024
SV-01927,C-0002,7,17/12/2024
SV-01839,C-0004,7,19/03/2024
SV-01838,C-0004,4,06/07/2024
SV-00673,C-0005,5,11/01/2024
SV-00672,C-0005,3,09/10/2024
SV-01463,C-0006,7,20/07/2024
SV-01464,C-0006,4,28/06/2024
SV-02567,C-0007,10,25/06/2024
SV-02566,C-0007,9,10/07/2024
SV-03405,C-0008,0,16/07/2024
SV-00213,C-0009,3,24/07/2024
SV-00214,C-0009,1,15/01/2024
SV-03106,C-0010,7,15/08/2024
SV-00050,C-0011,3,28/03/2024
SV-00049,C-0011,4,29/09/2024
SV-04386,C-0012,3,23/05/2024
SV-04385,C-0012,2,02/09/2024
SV-02009,C-0013,2,21/10/2024
SV-00223,C-0014,8,10/11/2024
SV-01263,C-0015,6,29/10/2024
SV-01264,C-0015,5,29/02/2024
SV-02403,C-0016,6,04/09/2024
SV-02404,C-0016,9,27/02/2024
SV-03225,C-0017,7,09/02/2024
SV-03224,C-0017,6,21/10/2024
SV-01419,C-0018,1,22/08/2024
SV-01420,C-0018,0,03/01/2024
SV-02205,C-0019,0,27/04/2024
SV-02204,C-0019,2,02/12/2024
SV-01825,C-0020,4,07/07/2024
SV-00342,C-0021,1,15/09/2024
SV-01643,C-0022,8,14/12/2024
SV-01644,C-0022,10,14/04/2024
SV-03828,C-0023,8,16/07/2024
SV-02120,C-0024,8,08/08/2024
SV-02121,C-0024,6,06/03/2024
SV-02431,C-0025,10,09/06/2024
SV-02430,C-0025,9,13/11/2024
SV-00569,C-0026,4,29/08/2024
SV-03945,C-0027,7,17/11/2024
SV-01468,C-0028,1,30/09/2024
SV-01469,C-0028,2,13/06/2024
SV-03547,C-0029,5,29/09/2024
SV-01883,C-0030,7,19/09/2024
SV-03430,C-0031,5,06/09/2024
SV-02698,C-0032,10,03/06/2024
SV-02697,C-0032,10,25/12/2024
