ticket_id,customer_id,created_date,category,priority,status
TK-00001,C-0002,14/01/2024,Onboarding,Medium,Resolved
TK-00002,C-0002,03/09/2024,Feature Request,Medium,Closed
TK-00003,C-0002,24-Oct-24,Billing,Low,Open
TK-00004,C-0002,01/11/2024,Billing,Low,Closed
TK-00005,C-0002,09/11/2024,Onboarding,Medium,Resolved
TK-00006,C-0002,11/11/2024,Technical,Medium,Open
TK-00007,C-0002,12/11/2024,Technical,High,Closed
TK-00008,C-0002,23/11/2024,Billing,Low,Closed
TK-00009,C-0002,29/11/2024,Billing,Low,Closed
TK-00010,C-0002,29/11/2024,Onboarding,Medium,Closed
TK-00011,C-0002,10/12/2024,Feature Request,Medium,Closed
TK-00012,C-0002,16/12/2024,Technical,High,Closed
TK-00013,C-0002,16/12/2024,Onboarding,Medium,Closed
TK-00014,C-0002,20/12/2024,Account,High,Resolved
TK-00015,C-0002,21/12/2024,Account,Low,Closed
TK-00016,C-0002,21/12/2024,Billing,Low,Closed
TK-00017,C-0002,27/12/2024,Billing,High,Resolved
TK-00018,C-0003,03-Jun-24,Account,High,Resolved
TK-00019,C-0003,26/08/2024,Billing,Low,Resolved
TK-00020,C-0003,25/11/2024,Feature Request,High,Resolved
TK-00021,C-0004,30/05/2024,Account,High,Resolved
TK-00022,C-0004,09/08/2024,Technical,High,Closed
TK-00023,C-0004,12/08/2024,Technical,Low,Resolved
TK-00024,C-0004,03/10/2024,Feature Request,Medium,Closed
TK-00025,C-0004,06/10/2024,Billing,Critical,Resolved
TK-00026,C-0004,12/10/2024,Technical,High,Resolved
TK-00027,C-0004,29/10/2024,Account,Medium,Resolved
TK-00028,C-0004,11/11/2024,Account,Critical,Closed
TK-00029,C-0004,02/12/2024,Onboarding,Medium,Closed
TK-00030,C-0004,08/12/2024,Billing,Medium,Closed
TK-00031,C-0004,15/12/2024,Feature Request,Low,In Progress
TK-00032,C-0004,21/12/2024,Billing,High,Closed
TK-00033,C-0004,28/12/2024,Technical,Low,In Progress
TK-00034,C-0005,07/05/2024,Technical,High,Closed
TK-00035,C-0005,22/05/2024,Technical,Medium,In Progress
TK-00036,C-0005,12/10/2024,Technical,Medium,Resolved
TK-00037,C-0005,22/11/2024,Billing,Medium,Closed
TK-00038,C-0005,16/12/2024,Technical,High,Closed
TK-00039,C-0005,20/12/2024,Feature Request,Medium,In Progress
TK-00040,C-0005,28/12/2024,Billing,Critical,Closed
TK-00041,C-0005,11/27/2024,Technical,Low,Closed
TK-00042,C-0006,26/07/2024,Onboarding,Medium,Closed
TK-00043,C-0006,09/10/2024,Feature Request,Low,Closed
TK-00044,C-0006,11/10/2024,Technical,Medium,Open
TK-00045,C-0006,11/10/2024,Technical,High,Resolved
TK-00046,C-0006,14/10/2024,Technical,Medium,Closed
TK-00047,C-0006,20/10/2024,Billing,Medium,Closed
TK-00048,C-0006,24/10/2024,Technical,Medium,Open
TK-00049,C-0006,30/10/2024,Account,Critical,Closed
TK-00050,C-0006,31/10/2024,Account,Low,Closed
TK-00051,C-0006,04/11/2024,Feature Request,Medium,Closed
TK-00052,C-0006,25/11/2024,Billing,High,In Progress
TK-00053,C-0006,09/12/2024,Account,Medium,Open
TK-00054,C-0006,17/12/2024,Technical,Low,Resolved
TK-00055,C-0006,23/12/2024,Technical,Low,Closed
TK-00056,C-0006,26/12/2024,Technical,Critical,Closed
TK-00057,C-0006,30-Dec-24,Technical,Medium,Resolved
TK-00058,C-0007,16/03/2024,Billing,Low,In Progress
TK-00059,C-0007,19/05/2024,Technical,Low,Closed
TK-00060,C-0007,14/10/2024,Billing,Critical,In Progress
TK-00061,C-0007,27/10/2024,Account,Low,Closed
TK-00062,C-0007,31/10/2024,Billing,Low,Closed
TK-00063,C-0007,06/11/2024,Onboarding,Medium,Closed
TK-00064,C-0007,07/11/2024,Billing,Low,In Progress
TK-00065,C-0007,23/11/2024,Feature Request,Medium,In Progress
TK-00066,C-0007,11/12/2024,Billing,Medium,Resolved
TK-00067,C-0007,12/12/2024,Billing,Low,Open
TK-00068,C-0007,23/12/2024,Feature Request,Low,Closed
TK-00069,C-0008,26/10/2024,Technical,Medium,Closed
TK-00070,C-0008,24/11/2024,Account,Low,In Progress
TK-00071,C-0008,08/12/2024,Technical,High,Closed
TK-00072,C-0008,05/18/2024,Feature Request,Critical,Resolved
TK-00073,C-0009,10/07/2024,Technical,High,Resolved
TK-00074,C-0009,05/10/2024,Technical,Medium,Open
TK-00075,C-0009,14/10/2024,Billing,High,In Progress
TK-00076,C-0009,27/12/2024,Technical,Low,Closed
TK-00077,C-0010,11/03/2024,Technical,Medium,Closed
TK-00078,C-0010,27/04/2024,Billing,Medium,Resolved
TK-00079,C-0010,20/07/2024,Technical,High,Resolved
TK-00080,C-0010,07-Oct-24,Feature Request,High,Closed
TK-00081,C-0010,16/10/2024,Technical,Critical,Resolved
TK-00082,C-0010,31/10/2024,Onboarding,Medium,Closed
TK-00083,C-0010,07/11/2024,Account,High,In Progress
TK-00084,C-0010,25/11/2024,Technical,Medium,In Progress
TK-00085,C-0010,06/12/2024,Billing,Medium,Closed
TK-00086,C-0010,11/12/2024,Account,High,Closed
TK-00087,C-0010,11-Dec-24,Account,Low,Closed
TK-00088,C-0010,11/12/2024,Feature Request,High,Resolved
TK-00089,C-0011,18-Jul-24,Billing,Critical,Resolved
TK-00090,C-0011,14/10/2024,Onboarding,Low,Resolved
TK-00091,C-0011,16-Oct-24,Billing,Medium,Closed
TK-00092,C-0011,30/12/2024,Billing,High,In Progress
TK-00093,C-0012,04/10/2024,Billing,High,Resolved
TK-00094,C-0012,21/10/2024,Billing,Low,Resolved
TK-00095,C-0012,23/10/2024,Billing,High,Closed
TK-00096,C-0012,24/10/2024,Account,Critical,Open
TK-00097,C-0012,13/11/2024,Billing,Medium,Resolved
TK-00098,C-0012,20/11/2024,Account,Medium,Resolved
TK-00099,C-0012,27/11/2024,Account,High,Resolved
TK-00100,C-0012,01/12/2024,Feature Request,High,Resolved
TK-00101,C-0013,14/07/2024,Billing,Medium,Resolved
TK-00102,C-0013,17/10/2024,Technical,Medium,Resolved
TK-00103,C-0013,19/10/2024,Feature Request,High,Open
TK-00104,C-0013,10/11/2024,Technical,High,Resolved
TK-00105,C-0013,27/11/2024,Feature Request,High,In Progress
TK-00106,C-0013,30/11/2024,Billing,Medium,Open
TK-00107,C-0013,30/11/2024,Billing,Medium,Resolved
TK-00108,C-0013,19/12/2024,Technical,Medium,Resolved
TK-00109,C-0013,23/12/2024,Billing,High,In Progress
TK-00110,C-0013,26-Dec-24,Account,Critical,Resolved
TK-00111,C-0013,10/13/2024,Technical,Low,Closed
TK-00112,C-0014,28/03/2024,Onboarding,Medium,Closed
TK-00113,C-0014,06/11/2024,Technical,Critical,Resolved
TK-00114,C-0014,16/11/2024,Technical,Low,Resolved
TK-00115,C-0014,27/11/2024,Account,Medium,In Progress
TK-00116,C-0014,14/12/2024,Technical,Medium,Resolved
TK-00117,C-0014,20/12/2024,Billing,Medium,Closed
TK-00118,C-0014,20/12/2024,Billing,Medium,Closed
TK-00119,C-0015,03/10/2024,Account,High,Closed
TK-00120,C-0015,10/10/2024,Technical,High,Closed
TK-00121,C-0015,11/10/2024,Technical,Low,Resolved
TK-00122,C-0015,15/10/2024,Technical,High,Open
TK-00123,C-0015,27/10/2024,Technical,Medium,Closed
TK-00124,C-0015,31/10/2024,Technical,Medium,In Progress
TK-00125,C-0015,05/11/2024,Technical,Low,Resolved
TK-00126,C-0015,22/11/2024,Technical,Low,Closed
TK-00127,C-0015,21/12/2024,Billing,Low,In Progress
TK-00128,C-0015,30/12/2024,Billing,Critical,Closed
TK-00129,C-0015,11/16/2024,Billing,Critical,Resolved
TK-00130,C-0016,31/01/2024,Technical,Low,Closed
TK-00131,C-0016,03/04/2024,Technical,Low,Resolved
TK-00132,C-0016,03/10/2024,Account,Medium,Resolved
TK-00133,C-0016,14/10/2024,Billing,Medium,Resolved
TK-00134,C-0016,09/11/2024,Technical,Low,Resolved
TK-00135,C-0016,10/11/2024,Billing,Low,Closed
TK-00136,C-0016,17/11/2024,Billing,Low,Closed
TK-00137,C-0016,01/12/2024,Billing,Medium,Resolved
TK-00138,C-0016,03/12/2024,Account,Low,Resolved
TK-00139,C-0016,12/12/2024,Onboarding,High,In Progress
TK-00140,C-0016,25/12/2024,Billing,High,In Progress
TK-00141,C-0017,08/02/2024,Feature Request,Medium,Resolved
TK-00142,C-0017,12/02/2024,Onboarding,Low,Resolved
TK-00143,C-0017,24/11/2024,Account,Low,Open
TK-00144,C-0017,13/12/2024,Billing,Critical,Closed
TK-00145,C-0017,15/12/2024,Technical,Critical,Closed
TK-00146,C-0018,18/04/2024,Technical,Medium,Resolved
TK-00147,C-0018,11/05/2024,Account,Medium,In Progress
TK-00148,C-0018,06/10/2024,Technical,High,Open
TK-00149,C-0018,06/10/2024,Feature Request,Medium,Resolved
TK-00150,C-0018,13/10/2024,Feature Request,High,Closed
TK-00151,C-0018,15/10/2024,Technical,Low,Resolved
TK-00152,C-0018,16/10/2024,Technical,Medium,Resolved
TK-00153,C-0018,20/10/2024,Onboarding,Medium,Closed
TK-00154,C-0018,15/11/2024,Account,Critical,Closed
TK-00155,C-0018,29/11/2024,Billing,Medium,In Progress
TK-00156,C-0018,04/12/2024,Billing,Low,In Progress
TK-00157,C-0018,24/12/2024,Feature Request,Medium,Resolved
TK-00158,C-0018,25/12/2024,Technical,High,In Progress
TK-00159,C-0019,10/02/2024,Technical,High,Closed
TK-00160,C-0019,24/09/2024,Billing,Low,Open
TK-00161,C-0019,14/10/2024,Account,Low,In Progress
TK-00162,C-0019,17/10/2024,Technical,High,In Progress
TK-00163,C-0019,18/10/2024,Account,High,Closed
TK-00164,C-0019,19/10/2024,Billing,High,Closed
TK-00165,C-0019,08/11/2024,Billing,Low,Closed
TK-00166,C-0019,15/11/2024,Onboarding,Low,Resolved
TK-00167,C-0019,25/11/2024,Technical,Medium,Open
TK-00168,C-0019,06/12/2024,Billing,High,Resolved
TK-00169,C-0019,12/12/2024,Feature Request,Low,Closed
TK-00170,C-0019,18/12/2024,Technical,Medium,Closed
TK-00171,C-0020,03/10/2024,Account,High,In Progress
TK-00172,C-0020,06/10/2024,Technical,Medium,In Progress
TK-00173,C-0020,12/10/2024,Technical,Medium,Closed
TK-00174,C-0020,16/10/2024,Technical,High,Resolved
TK-00175,C-0020,21/10/2024,Technical,Medium,In Progress
TK-00176,C-0020,23/10/2024,Billing,Medium,Resolved
TK-00177,C-0020,07/11/2024,Account,High,Closed
TK-00178,C-0020,11/11/2024,Billing,Low,Resolved
TK-00179,C-0020,15/11/2024,Technical,Medium,Closed
TK-00180,C-0020,17-Nov-24,Technical,Low,In Progress
TK-00181,C-0020,24/11/2024,Billing,Low,Resolved
TK-00182,C-0020,06/12/2024,Account,High,Closed
TK-00183,C-0020,15/12/2024,Billing,Low,Closed
TK-00184,C-0020,15/12/2024,Feature Request,Low,Resolved
TK-00185,C-0020,27/12/2024,Technical,High,Closed
TK-00186,C-0021,18/02/2024,Account,Medium,Resolved
TK-00187,C-0021,15/04/2024,Technical,High,In Progress
TK-00188,C-0021,12/10/2024,Onboarding,Low,Resolved
TK-00189,C-0021,23/11/2024,Technical,High,In Progress
TK-00190,C-0021,11/12/2024,Technical,Low,Resolved
TK-00191,C-0021,24/12/2024,Technical,Medium,Resolved
TK-00192,C-0022,17/09/2024,Account,Medium,Open
TK-00193,C-0022,09/10/2024,Billing,Medium,Closed
TK-00194,C-0022,24/10/2024,Billing,High,Resolved
TK-00195,C-0022,10/11/2024,Onboarding,High,Closed
TK-00196,C-0022,11/11/2024,Technical,Low,Closed
TK-00197,C-0022,12/11/2024,Technical,Medium,Resolved
TK-00198,C-0022,12/21/2024,Technical,High,Resolved
TK-00199,C-0023,05/04/2024,Billing,High,In Progress
TK-00200,C-0023,11/05/2024,Technical,Medium,In Progress
TK-00201,C-0023,06/10/2024,Account,Medium,Resolved
TK-00202,C-0023,13/10/2024,Account,High,Closed
TK-00203,C-0023,13/10/2024,Onboarding,High,In Progress
TK-00204,C-0023,19/10/2024,Feature Request,Low,Resolved
TK-00205,C-0023,05/11/2024,Billing,High,Resolved
TK-00206,C-0023,19/11/2024,Onboarding,Medium,Resolved
TK-00207,C-0023,29/11/2024,Billing,Critical,Closed
TK-00208,C-0023,01/12/2024,Feature Request,High,Resolved
TK-00209,C-0023,20/12/2024,Billing,Medium,Closed
TK-00210,C-0023,23/12/2024,Technical,Low,In Progress
TK-00211,C-0023,26/12/2024,Technical,High,Resolved
TK-00212,C-0024,04/02/2024,Feature Request,Medium,Closed
TK-00213,C-0024,15/06/2024,Billing,High,Closed
TK-00214,C-0024,03/10/2024,Technical,Critical,Resolved
TK-00215,C-0024,11/10/2024,Technical,Low,Closed
TK-00216,C-0024,20/10/2024,Technical,Low,Closed
TK-00217,C-0024,25/10/2024,Billing,Medium,In Progress
TK-00218,C-0024,29/10/2024,Technical,Medium,Closed
TK-00219,C-0024,23/11/2024,Account,Medium,In Progress
TK-00220,C-0024,26/11/2024,Billing,Medium,Closed
TK-00221,C-0024,28/11/2024,Technical,Medium,Resolved
TK-00222,C-0024,23/12/2024,Account,Low,In Progress
TK-00223,C-0024,25/12/2024,Technical,Critical,In Progress
TK-00224,C-0024,26/12/2024,Billing,Critical,Resolved
TK-00225,C-0024,10/13/2024,Technical,Low,In Progress
TK-00226,C-0024,10/14/2024,Technical,Low,Closed
TK-00227,C-0026,18/01/2024,Feature Request,Low,Resolved
TK-00228,C-0026,18/09/2024,Account,Medium,Resolved
TK-00229,C-0026,12/10/2024,Billing,Medium,Resolved
TK-00230,C-0026,12/11/2024,Technical,Critical,Resolved
TK-00231,C-0026,04/12/2024,Billing,Medium,Closed
TK-00232,C-0026,12/12/2024,Account,Medium,Closed
TK-00233,C-0026,25/12/2024,Technical,Low,Closed
TK-00234,C-0027,09/01/2024,Technical,High,Open
TK-00235,C-0027,10/10/2024,Billing,Medium,Resolved
TK-00236,C-0027,11/10/2024,Onboarding,Low,Open
TK-00237,C-0027,17/10/2024,Feature Request,Medium,In Progress
TK-00238,C-0027,19/10/2024,Account,Critical,Resolved
TK-00239,C-0027,26/10/2024,Technical,Low,Closed
TK-00240,C-0027,26/11/2024,Feature Request,High,Resolved
